49,6/28/2014 16:00,1A,2B,Belo Horizonte,Round of 16
50,6/29/2014 20:00,1C,2D,Rio De Janeiro,Round of 16
51,6/30/2014 16:00,1B,2A,Fortaleza,Round of 16
52,7/1/2014 20:00,1D,2C,Recife,Round of 16
53,7/2/2014 16:00,1E,2F,Brasilia,Round of 16
54,7/3/2014 20:00,1G,2H,Porto Alegre,Round of 16
55,7/4/2014 16:00,1F,2E,Sao Paulo,Round of 16
56,7/5/2014 20:00,1H,2G,Salvador,Round of 16
57,7/6/2014 20:00,W49,W50,Fortaleza,Quarterfinals
58,7/7/2014 16:00,W53,W54,Rio De Janeiro,Quarterfinals
59,7/8/2014 20:00,W51,W52,Salvador,Quarterfinals
60,7/9/2014 16:00,W55,W56,Brasilia,Quarterfinals
61,7/10/2014 20:00,W57,W58,Belo Horizonte,Semi-Finals
62,7/11/2014 20:00,W59,W60,Sao Paulo,Semi-Finals
63,7/12/2014 20:00,L61,L62,Brasilia,Third-Place Play-Off
64,7/13/2014 19:00,W61,W62,Rio De Janeiro,Final
